 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.24,0.24,0.49,0.0,0.0,0.0,0.0
01:00 - 02:00,0.24,0.24,0.0,0.24,0.0,0.24,0.0
02:00 - 03:00,0.0,0.0,0.97,0.49,0.24,0.24,0.0
03:00 - 04:00,0.24,0.24,1.46,0.49,0.24,0.24,0.0
04:00 - 05:00,1.46,2.67,0.49,2.91,0.49,0.0,0.0
05:00 - 06:00,0.97,1.7,2.18,0.73,1.7,0.0,0.0
06:00 - 07:00,1.21,2.91,3.16,1.94,2.18,0.24,0.0
07:00 - 08:00,1.7,1.46,2.43,1.46,0.73,0.0,0.24
08:00 - 09:00,1.21,1.21,1.94,0.97,0.49,0.0,0.24
09:00 - 10:00,2.43,1.46,0.97,1.94,0.73,0.0,0.0
10:00 - 11:00,0.49,2.91,2.43,0.49,2.91,0.0,0.0
11:00 - 12:00,2.18,1.94,1.94,0.73,1.94,0.0,0.24
12:00 - 13:00,0.97,1.7,2.43,2.18,2.43,0.0,0.0
13:00 - 14:00,0.97,1.21,1.46,0.97,0.97,0.24,0.0
14:00 - 15:00,0.24,0.49,0.24,0.97,0.49,0.0,0.0
15:00 - 16:00,0.0,0.24,0.24,0.0,0.24,0.0,0.0
16:00 - 17:00,0.0,0.24,0.49,0.24,0.49,0.0,0.24
17:00 - 18:00,0.24,0.24,0.0,0.0,0.24,0.0,0.0
18:00 - 19:00,0.0,0.24,0.24,0.0,0.49,0.0,0.0
19:00 - 20:00,0.0,0.0,0.24,0.49,0.0,0.0,0.0
20:00 - 21:00,0.0,0.73,0.0,0.24,0.24,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.24,1.21,0.0,0.0,0.0,0.0
23:00 - 00:00,0.73,0.24,0.0,0.0,0.0,0.0,0.0
